time,open,high,low,close,Plot,Plot,Plot,Plot,Volume,Volume MA
2023-05-29T05:20:00+02:00,28069.67,28075.3,28069.67,28074.56,28087.851022424406,28107.925429856503,28134.581737905784,28183.382400000002,0.08608,0.34809000000000007
2023-05-29T05:21:00+02:00,28071.15,28072.41,28069.84,28071.23,28086.268067907797,28106.48639339154,28133.327248046266,28182.266455721394,0.0208,0.31073750000000006
2023-05-29T05:22:00+02:00,28075.17,28075.17,28063.17,28069.03,28084.626347154674,28105.017515219322,28132.054035213667,28181.139724818695,0.15702,0.31413550000000007
2023-05-29T05:23:00+02:00,28063.98,28064.02,28061.79,28061.79,28082.451456949468,28103.322318544055,28130.66266817973,28179.952165367762,0.41151,0.3297075000000001
2023-05-29T05:24:00+02:00,28060.49,28060.49,28060.48,28060.48,28080.358937239995,28101.64222762076,28129.272912374192,28178.76338760291,0.00384,0.3162465000000001
2023-05-29T05:25:00+02:00,28067.48,28082.65,28067.48,28074.55,28079.8057051219,28100.579787321905,28128.18929034698,28177.726438472535,1.10322,0.3674810000000001
2023-05-29T05:26:00+02:00,28077.92,28077.92,28065.35,28067.75,28078.65754272934,28099.29234468183,28126.99247271635,28176.63214555241,0.15424,0.3492475000000001
2023-05-29T05:27:00+02:00,28074.91,28087.72,28073.34,28087.57,28079.506348183688,28098.832644890386,28126.211829692264,28175.7459550494,0.2386,0.35734500000000013
2023-05-29T05:28:00+02:00,28082.2,28085.52,28082.2,28084.36,28079.968600737622,28098.2650901888,28125.383080589447,28174.836642063834,0.00707,0.3571315000000001
2023-05-29T05:29:00+02:00,28082.02,28102.59,28082.02,28101.87,28082.05444828642,28098.406459201004,28124.91747503322,28174.110605824393,0.14355,0.36129300000000014
2023-05-29T05:30:00+02:00,28105.65,28105.65,28102.42,28102.43,28083.994977021048,28098.56424511469,28124.47217849791,28173.397365965444,0.17291,0.35169050000000013
2023-05-29T05:31:00+02:00,28103.47,28103.47,28061.59,28069.1,28082.576407780947,28097.408784521955,28123.375699715772,28172.35958122947,4.75348,0.5812445000000002
2023-05-29T05:32:00+02:00,28072.61,28077.12,28059.99,28069.1,28081.292940373238,28096.298636109328,28122.300933384766,28171.332122709773,1.36645,0.6287295000000002
2023-05-29T05:33:00+02:00,28067.67,28077.14,28067.11,28077.14,28080.897422242455,28095.547317046217,28121.406657476156,28170.394887657934,0.57794,0.6533555000000002
2023-05-29T05:34:00+02:00,28077.08,28077.08,28077.07,28077.07,28080.532905838412,28094.822716377737,28120.52870386277,28169.46628181059,0.00332,0.6437335000000002
2023-05-29T05:35:00+02:00,28073.94,28073.94,28066.26,28067.63,28079.304057663325,28093.756335343318,28119.481204776377,28168.452985474167,0.08862,0.5162275000000002
2023-05-29T05:36:00+02:00,28067.63,28067.63,28059.97,28060.68,28077.530337885866,28092.459224153383,28118.316824483776,28167.380617459497,0.02974,0.5128005000000002
2023-05-29T05:37:00+02:00,28056.21,28060.5,28056.21,28060.5,28075.908400944354,28091.205921245408,28117.171936870236,28166.31712872856,0.26278,0.5248205000000001
2023-05-29T05:38:00+02:00,28053.31,28062.18,28052.08,28062.18,28074.60093418775,28090.06764982402,28116.08298762528,28165.280938392953,0.18293,0.5052035000000001
2023-05-29T05:39:00+02:00,28060.61,28070.49,28060.61,28070.24,28074.18560712225,28089.29009492896,28115.175205692107,28164.335257413917,0.07895,0.49215250000000027
