time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA
2023-05-29T02:00:00+02:00,28088.64,28100.11,28085.3,28098.04,NaN,NaN,NaN,NaN,1.11926,NaN
2023-05-29T02:01:00+02:00,28095.05,28126.33,28093.09,28107.65,NaN,NaN,NaN,NaN,4.54213,NaN
2023-05-29T02:02:00+02:00,28114.18,28163.29,28114.18,28152.8,NaN,NaN,NaN,NaN,1.14057,NaN
2023-05-29T02:03:00+02:00,28150.88,28154.46,28140.07,28151.48,NaN,NaN,NaN,NaN,0.43678,NaN
2023-05-29T02:04:00+02:00,28143.54,28143.54,28133.02,28140.83,NaN,NaN,NaN,NaN,0.2275,NaN
2023-05-29T02:05:00+02:00,28141.91,28150.53,28133.41,28136.39,NaN,NaN,NaN,NaN,0.66286,NaN
2023-05-29T02:06:00+02:00,28137.28,28142.62,28116.17,28127.69,NaN,NaN,NaN,NaN,2.25479,NaN
2023-05-29T02:07:00+02:00,28128.98,28133.38,28124.44,28125.89,NaN,NaN,NaN,NaN,0.22173,NaN
2023-05-29T02:08:00+02:00,28125.1,28144.92,28125.1,28143.56,NaN,NaN,NaN,NaN,0.52621,NaN
2023-05-29T02:09:00+02:00,28143.14,28160.84,28142.01,28160.84,NaN,NaN,NaN,NaN,0.24133,NaN
2023-05-29T02:10:00+02:00,28164.72,28169.71,28164.31,28165.22,NaN,NaN,NaN,NaN,0.53494,NaN
2023-05-29T02:11:00+02:00,28166.02,28169.23,28163.21,28163.21,NaN,NaN,NaN,NaN,0.53114,NaN
2023-05-29T02:12:00+02:00,28161.6,28163.67,28156.04,28158.18,NaN,NaN,NaN,NaN,1.49177,NaN
2023-05-29T02:13:00+02:00,28160.06,28186.65,28160.06,28186.65,NaN,NaN,NaN,NaN,0.18638,NaN
2023-05-29T02:14:00+02:00,28185.1,28238.75,28183.88,28198.49,NaN,NaN,NaN,NaN,2.76509,NaN
2023-05-29T02:15:00+02:00,28204.91,28282.48,28204.91,28232.66,NaN,NaN,NaN,NaN,2.66406,NaN
2023-05-29T02:16:00+02:00,28236.54,28236.81,28197.77,28212.6,NaN,NaN,NaN,NaN,2.02478,NaN
2023-05-29T02:17:00+02:00,28207.62,28279.06,28207.62,28279.06,NaN,NaN,NaN,NaN,1.03024,NaN
2023-05-29T02:18:00+02:00,28279.27,28297.42,28271,28275.73,NaN,NaN,NaN,NaN,2.79356,NaN
2023-05-29T02:19:00+02:00,28277.71,28368.67,28277.7,28359.17,28178.807,NaN,NaN,NaN,5.22768,1.53114
2023-05-29T02:20:00+02:00,28353.56,28404.82,28319.01,28404.24,28194.117,NaN,NaN,NaN,7.2935,1.8398519999999998
2023-05-29T02:21:00+02:00,28386.1,28392.14,28358.29,28388.2,28208.144500000002,NaN,NaN,NaN,1.10835,1.6681629999999998
2023-05-29T02:22:00+02:00,28394.57,28403.52,28372.41,28403.52,28220.6805,NaN,NaN,NaN,5.29877,1.8760729999999999
2023-05-29T02:23:00+02:00,28400.06,28404.37,28380.07,28395.71,28232.892,NaN,NaN,NaN,1.66287,1.9373774999999998
2023-05-29T02:24:00+02:00,28400.01,28433.17,28394.91,28394.91,28245.596,NaN,NaN,NaN,1.19424,1.9857144999999998
2023-05-29T02:25:00+02:00,28390.05,28399.69,28351.78,28351.78,28256.365499999996,NaN,NaN,NaN,0.50124,1.9776335
2023-05-29T02:26:00+02:00,28342.7,28348.29,28314.98,28314.98,28265.73,NaN,NaN,NaN,0.46401,1.8880945
2023-05-29T02:27:00+02:00,28312.37,28349.2,28312.37,28339.79,28276.425,NaN,NaN,NaN,4.65008,2.109512
2023-05-29T02:28:00+02:00,28338.73,28338.73,28315.77,28324.06,28285.45,NaN,NaN,NaN,0.40223,2.1033130000000004
2023-05-29T02:29:00+02:00,28315.21,28337.49,28310.47,28320.13,28293.414500000003,NaN,NaN,NaN,0.47117,2.1148050000000005
2023-05-29T02:30:00+02:00,28313.79,28333.36,28309.62,28322.47,28301.277000000002,NaN,NaN,NaN,0.96414,2.1362650000000007
2023-05-29T02:31:00+02:00,28327.97,28331.36,28313.87,28316.88,28308.960499999997,NaN,NaN,NaN,0.82899,2.1511575000000005
2023-05-29T02:32:00+02:00,28315.31,28315.31,28305.77,28305.78,28316.3405,NaN,NaN,NaN,0.07967,2.0805525000000005
2023-05-29T02:33:00+02:00,28301.3,28301.3,28279.32,28282.46,28321.131,NaN,NaN,NaN,1.24071,2.1332690000000003
2023-05-29T02:34:00+02:00,28279.26,28279.26,28255.92,28265.97,28324.504999999997,NaN,NaN,NaN,0.19243,2.0046360000000005
2023-05-29T02:35:00+02:00,28259.65,28264.91,28239.85,28264.91,28326.1175,NaN,NaN,NaN,1.36818,1.9398420000000005
2023-05-29T02:36:00+02:00,28273.95,28314.16,28271.97,28296.82,28330.328499999996,NaN,NaN,NaN,1.47662,1.9124340000000004
2023-05-29T02:37:00+02:00,28292.43,28336.14,28285.77,28328.19,28332.784999999996,NaN,NaN,NaN,1.00237,1.9110405000000004
2023-05-29T02:38:00+02:00,28323.96,28338.11,28318.73,28318.73,28334.934999999998,NaN,NaN,NaN,0.26805,1.7847650000000006
2023-05-29T02:39:00+02:00,28317.41,28332.42,28296.32,28306.44,28332.298499999994,NaN,NaN,NaN,0.83331,1.5650465000000007
2023-05-29T02:40:00+02:00,28319.24,28375.5,28319.24,28364.87,28330.329999999994,NaN,NaN,NaN,0.61343,1.2310430000000008
2023-05-29T02:41:00+02:00,28363.52,28368.15,28342.77,28342.77,28328.058499999992,NaN,NaN,NaN,0.21143,1.1861970000000006
2023-05-29T02:42:00+02:00,28334.84,28334.84,28320.1,28320.1,28323.88749999999,NaN,NaN,NaN,0.35564,0.9390405000000006
2023-05-29T02:43:00+02:00,28323.93,28331.13,28308.02,28308.02,28319.50299999999,NaN,NaN,NaN,0.17251,0.8645225000000005
2023-05-29T02:44:00+02:00,28305.62,28318.06,28305.62,28309.17,28315.215999999993,NaN,NaN,NaN,0.15914,0.8127675000000005
2023-05-29T02:45:00+02:00,28312.86,28315.28,28301.12,28312.64,28313.25899999999,NaN,NaN,NaN,0.14909,0.7951600000000005
2023-05-29T02:46:00+02:00,28295.11,28304.25,28291.42,28291.42,28312.080999999995,NaN,NaN,NaN,0.53998,0.7989585000000006
