time,open,high,low,close,ema20,ema50,ema100,ema200,Volume,Volume MA
2023-06-05T00:16:00+02:00,27336.91,27472.88,27336.91,27449.67,27309.290239707974,27290.246789906232,27286.84094614145,27280.830717328572,10.99635,0.7774649999999934
2023-06-05T00:17:00+02:00,27458.65,27515.94,27448.37,27465.78,27324.194026402452,27297.130445204028,27290.38429374261,27282.67100869844,7.24131,1.1369479999999934
2023-06-05T00:18:00+02:00,27456.85,27459.99,27448.21,27451.14,27336.284119126027,27303.170035588184,27293.567575054636,27284.347317069598,0.46621,1.1583094999999934
2023-06-05T00:19:00+02:00,27450.69,27485.14,27434.83,27448.56,27346.977060161644,27308.87160282002,27296.636731984247,27285.98127411368,1.44506,1.2281144999999936
2023-06-05T00:20:00+02:00,27440.76,27440.76,27407.35,27409.05,27352.88876871768,27312.800167415317,27298.86273729149,27287.205838550362,0.934,1.2610454999999936
2023-06-05T00:21:00+02:00,27410.12,27413.47,27397.96,27401.15,27357.485076458852,27316.264866732363,27300.888227642154,27288.339611301104,0.34302,1.2105284999999937
2023-06-05T00:22:00+02:00,27402.77,27444.08,27402.58,27444.08,27365.7322120342,27321.27722489972,27303.7237082829,27289.88926691005,0.27855,1.2195879999999937
2023-06-05T00:23:00+02:00,27439.61,27443.58,27410.32,27410.32,27369.97866803094,27324.769098433066,27305.834525940667,27291.08758266219,0.18578,1.1960094999999937
2023-06-05T00:24:00+02:00,27417.66,27438.19,27417.66,27438.19,27376.47498536133,27329.216976925887,27308.45542641709,27292.551288307342,0.09179,1.1863689999999936
2023-06-05T00:25:00+02:00,27439.59,27449.54,27432.87,27432.87,27381.84593913644,27333.281801360165,27310.919081339525,27293.947494393837,0.5161,1.2110099999999937
2023-06-05T00:26:00+02:00,27428.9,27428.94,27414.06,27414.06,27384.91394493297,27336.449573855843,27312.961475768447,27295.14264370335,0.90446,1.2388409999999936
2023-06-05T00:27:00+02:00,27409.15,27419.18,27391.03,27391.03,27385.496426367925,27338.589982724243,27314.50738713937,27296.096746751078,2.52373,1.3635809999999937
