time,open,high,low,close,Volume,Volume MA
2023-05-30T00:00:00+02:00,27718.04,27718.4,27688.9,27691.48,0.66006,0.16441449999999974
2023-05-30T00:01:00+02:00,27686.83,27686.83,27633.95,27672.12,2.6327,0.28347999999999973
2023-05-30T00:02:00+02:00,27670.31,27674.2,27647.09,27651.77,0.72545,0.2730339999999997
2023-05-30T00:03:00+02:00,27655.15,27672.06,27653.82,27668.22,1.18788,0.32911399999999974
2023-05-30T00:04:00+02:00,27668.48,27669.47,27667.4,27667.4,0.12599,0.3213464999999997
2023-05-30T00:05:00+02:00,27660.54,27660.54,27655.93,27655.93,0.07163,0.3152269999999997
2023-05-30T00:06:00+02:00,27656.65,27669.62,27656.65,27669.33,0.35544,0.3307494999999997
2023-05-30T00:07:00+02:00,27671.4,27676.22,27671.4,27674.44,0.22782,0.3393259999999997
2023-05-30T00:08:00+02:00,27678.13,27679.33,27674.65,27679.33,0.10189,0.3413954999999997
2023-05-30T00:09:00+02:00,27685.23,27702.61,27682.99,27702.61,1.42315,0.41033399999999964
2023-05-30T00:10:00+02:00,27694.41,27696.78,27693.59,27695.08,0.18048,0.4143009999999997
2023-05-30T00:11:00+02:00,27691.35,27693.96,27672.17,27672.17,0.88892,0.45672299999999966
2023-05-30T00:12:00+02:00,27670.33,27683.96,27670.33,27683.96,0.18837,0.46540899999999974
2023-05-30T00:13:00+02:00,27684.27,27684.28,27666.37,27667.68,0.11581,0.4701659999999997
2023-05-30T00:14:00+02:00,27668.02,27668.02,27664.53,27664.54,0.0403,0.4702454999999997
2023-05-30T00:15:00+02:00,27665.81,27677.04,27660.57,27674.95,0.39279,0.48851349999999966
2023-05-30T00:16:00+02:00,27676.01,27676.01,27642.21,27645.25,1.80418,0.5709789999999997
2023-05-30T00:17:00+02:00,27652.4,27652.62,27646.31,27649.55,0.28818,0.5803559999999996
2023-05-30T00:18:00+02:00,27648.75,27649.83,27619.85,27621.05,1.49052,0.6475039999999996
2023-05-30T00:19:00+02:00,27619.58,27619.58,27600.5,27616.36,1.28132,0.7091439999999997
2023-05-30T00:20:00+02:00,27613.22,27634.01,27613.22,27629.76,0.81526,0.7169039999999998
2023-05-30T00:21:00+02:00,27623.55,27630.71,27621.88,27630.46,0.08135,0.5893364999999997
2023-05-30T00:22:00+02:00,27630.45,27630.45,27627,27628.44,0.08032,0.5570799999999998
2023-05-30T00:23:00+02:00,27639.29,27641.44,27639.29,27641.44,0.07689,0.5015304999999998
2023-05-30T00:24:00+02:00,27641.22,27645.48,27641.22,27645.47,0.03437,0.49694949999999977
2023-05-30T00:25:00+02:00,27643.14,27643.14,27613.92,27619.17,0.72709,0.5297224999999998
2023-05-30T00:26:00+02:00,27623.04,27627.48,27621.54,27624.74,0.16199,0.5200499999999997
2023-05-30T00:27:00+02:00,27627.7,27630.75,27627.7,27627.7,0.11481,0.5143994999999998
2023-05-30T00:28:00+02:00,27626.93,27627.11,27626.93,27627.11,0.05268,0.5119389999999998
