time,open,high,low,close,Volume,Volume MA
2022-09-22T04:30:00+02:00,18511,18764,18508,18726,99.77365714,191.68572809100075
2022-09-22T05:00:00+02:00,18744,18773,18647,18773,94.66442089,194.74847066350077
2022-09-22T05:30:00+02:00,18769,18786,18678,18692,37.33719264,187.02955720700078
2022-09-22T06:00:00+02:00,18702,18802,18669,18677,28.34142412,139.00491853150078
2022-09-22T06:30:00+02:00,18676,18726,18665,18706,16.04292222,105.64610345350079
2022-09-22T07:00:00+02:00,18702,18715,18632,18632,19.89490953,93.6994210365008
2022-09-22T07:30:00+02:00,18634,18727,18634,18667,17.34338025,82.3429012805008
2022-09-22T08:00:00+02:00,18666,18881,18666,18847,110.0412201,81.9064755880008
2022-09-22T08:30:00+02:00,18841,18841,18701,18776,100.21526648,80.25603480750081
2022-09-22T09:00:00+02:00,18759,18881,18737,18871,39.08884166,65.9210694280008
2022-09-22T09:30:00+02:00,18865,18965,18832,18941,102.1044234,58.681681414000806
2022-09-22T10:00:00+02:00,18933,19117,18912,19109,111.80641544,52.82744728550081
2022-09-22T10:30:00+02:00,19129,19275,19097,19207,132.66867058,54.16699686950081
2022-09-22T11:00:00+02:00,19219,19238,19120,19174,42.03762323,53.3987938165008
2022-09-22T11:30:00+02:00,19175,19202,19101,19182,42.34763594,54.8026271325008
2022-09-22T12:00:00+02:00,19190,19214,19119,19200,31.23301647,54.4579888800008
2022-09-22T12:30:00+02:00,19204,19241,19082,19149,31.30126272,55.24164557650081
2022-09-22T13:00:00+02:00,19148,19167,19032,19043,44.89924313,56.80004740950081
2022-09-22T13:30:00+02:00,19043,19270,19043,19227,88.07365788,60.16534898400081
2022-09-22T14:00:00+02:00,19230,19275,19172,19191,46.24197411,61.77285789650081
2022-09-22T14:30:00+02:00,19187,19310,19149,19207,40.15422078,58.79188607850081
2022-09-22T15:00:00+02:00,19200,19217,19100,19103,29.80333506,55.548831787000815
2022-09-22T15:30:00+02:00,19112,19171,18895,18905,357.60049466,71.56199688800082
2022-09-22T16:00:00+02:00,18900,19068,18859,19018,54.57011742,72.87343155300081
2022-09-22T16:30:00+02:00,19021,19059,18856,18885,52.60303409,74.70143714650081
2022-09-22T17:00:00+02:00,18871,18950,18795,18948,38.33649766,75.62351655300083
2022-09-22T17:30:00+02:00,18944,19020,18902,18982,11.97529285,75.35511218300081
2022-09-22T18:00:00+02:00,18989,19002,18793,18946,25.56906754,71.13150455500082
2022-09-22T18:30:00+02:00,18949,19087,18919,19039,57.13856125,68.97766929350082
2022-09-22T19:00:00+02:00,19036,19068,18951,19067,25.85189829,68.31582212500082
2022-09-22T19:30:00+02:00,19068,19110,19038,19070,65.89534561,66.50536823550081
2022-09-22T20:00:00+02:00,19078,19078,18973,19025,14.02173112,61.61613401950082
2022-09-22T20:30:00+02:00,19045,19213,19025,19185,62.79979279,58.12269013000082
2022-09-22T21:00:00+02:00,19215,19293,19207,19272,67.28786751,59.385202344000824
2022-09-22T21:30:00+02:00,19270,19491,19250,19308,178.27881152,66.18176112300083
2022-09-22T22:00:00+02:00,19320,19359,19259,19261,16.61837619,65.45102910900083
2022-09-22T22:30:00+02:00,19258,19303,19246,19249,6.82008942,64.22697044400083
2022-09-22T23:00:00+02:00,19251,19282,19188,19188,38.37555132,63.900785853500814
2022-09-22T23:30:00+02:00,19186,19229,19165,19172,10.26169774,60.01018784650082
2022-09-23T00:00:00+02:00,19201,19396,19170,19369,17.23097043,58.559637662500826
2022-09-23T00:30:00+02:00,19380,19433,19328,19400,23.6993487,57.73689405850082
2022-09-23T01:00:00+02:00,19397,19541,19377,19398,66.80056381,59.58675549600082
2022-09-23T01:30:00+02:00,19402,19445,19383,19403,7.54739698,42.084100612000825
2022-09-23T02:00:00+02:00,19411,19466,19342,19369,46.49807599,41.68049854050082
2022-09-23T02:30:00+02:00,19371,19385,19305,19308,13.13332728,39.707013200000816
2022-09-23T03:00:00+02:00,19317,19381,19290,19314,35.42247071,39.56131185250082
2022-09-23T03:30:00+02:00,19305,19356,19226,19354,31.2368789,40.52439115500082
2022-09-23T04:00:00+02:00,19354,19358,19264,19279,25.06449363,40.49916245950082
2022-09-23T04:30:00+02:00,19277,19329,19234,19296,22.1693105,38.75069992200083
2022-09-23T05:00:00+02:00,19324,19425,19291,19410,33.30520588,39.123365301500826
2022-09-23T05:30:00+02:00,19411,19451,19381,19383,18.87050623,36.772123332500826
2022-09-23T06:00:00+02:00,19398,19430,19320,19414,33.58099385,37.75008646900083
2022-09-23T06:30:00+02:00,19419,19491,19413,19421,29.24263375,36.07222851700082
2022-09-23T07:00:00+02:00,19421,19459,19380,19415,24.70212517,33.942941400000834
2022-09-23T07:30:00+02:00,19412,19421,19359,19374,23.80522535,26.21926209150083
2022-09-23T08:00:00+02:00,19353,19412,19332,19335,39.33658344,27.35517245400083
2022-09-23T08:30:00+02:00,19353,19374,19321,19332,19.76613556,28.002474761000826
2022-09-23T09:00:00+02:00,19327,19327,19239,19295,70.31775306,29.599584848000823
2022-09-23T09:30:00+02:00,19299,19301,19208,19225,46.035942,31.38829706100082
2022-09-23T10:00:00+02:00,19223,19269,19141,19146,54.56048211,33.25477264500082
2022-09-23T10:30:00+02:00,19152,19191,19034,19068,83.47570492,36.243590456000824
2022-09-23T11:00:00+02:00,19064,19144,19057,19136,28.23464656,34.31529459350082
2022-09-23T11:30:00+02:00,19131,19131,18979,19092,45.73580024,36.22471475650082
2022-09-23T12:00:00+02:00,19083,19114,19039,19084,30.82253497,35.44093770550082
2022-09-23T12:30:00+02:00,19082,19110,18922,18963,41.50404238,36.85947346050082
